top - 19:04:42 up 21 min,  1 user,  load average: 0,24, 0,38, 0,54
top - 19:04:43 up 21 min,  1 user,  load average: 0,24, 0,38, 0,54
top - 19:04:44 up 21 min,  1 user,  load average: 0,24, 0,38, 0,54
top - 19:04:45 up 21 min,  1 user,  load average: 0,24, 0,38, 0,54
top - 19:04:46 up 21 min,  1 user,  load average: 0,24, 0,38, 0,54
top - 19:04:47 up 21 min,  1 user,  load average: 0,38, 0,41, 0,55
top - 19:04:48 up 21 min,  1 user,  load average: 0,38, 0,41, 0,55
top - 19:04:49 up 21 min,  1 user,  load average: 0,38, 0,41, 0,55
top - 19:04:50 up 21 min,  1 user,  load average: 0,38, 0,41, 0,55
top - 19:04:51 up 22 min,  1 user,  load average: 0,38, 0,41, 0,55
top - 19:04:53 up 22 min,  1 user,  load average: 0,35, 0,40, 0,54
top - 19:04:54 up 22 min,  1 user,  load average: 0,35, 0,40, 0,54
top - 19:04:55 up 22 min,  1 user,  load average: 0,35, 0,40, 0,54
top - 19:04:56 up 22 min,  1 user,  load average: 0,35, 0,40, 0,54
top - 19:04:57 up 22 min,  1 user,  load average: 0,35, 0,40, 0,54
top - 19:04:58 up 22 min,  1 user,  load average: 0,32, 0,39, 0,54
top - 19:04:59 up 22 min,  1 user,  load average: 0,32, 0,39, 0,54
top - 19:05:00 up 22 min,  1 user,  load average: 0,32, 0,39, 0,54
top - 19:05:01 up 22 min,  1 user,  load average: 0,32, 0,39, 0,54
top - 19:05:02 up 22 min,  1 user,  load average: 0,32, 0,39, 0,54
top - 19:05:03 up 22 min,  1 user,  load average: 0,30, 0,39, 0,54
top - 19:05:04 up 22 min,  1 user,  load average: 0,30, 0,39, 0,54
top - 19:05:05 up 22 min,  1 user,  load average: 0,30, 0,39, 0,54
top - 19:05:06 up 22 min,  1 user,  load average: 0,30, 0,39, 0,54
top - 19:05:07 up 22 min,  1 user,  load average: 0,30, 0,39, 0,54
top - 19:05:08 up 22 min,  1 user,  load average: 0,27, 0,38, 0,53
top - 19:05:09 up 22 min,  1 user,  load average: 0,27, 0,38, 0,53
top - 19:05:10 up 22 min,  1 user,  load average: 0,27, 0,38, 0,53
top - 19:05:11 up 22 min,  1 user,  load average: 0,27, 0,38, 0,53
top - 19:05:12 up 22 min,  1 user,  load average: 0,27, 0,38, 0,53
top - 19:05:13 up 22 min,  1 user,  load average: 0,25, 0,37, 0,53
top - 19:05:14 up 22 min,  1 user,  load average: 0,25, 0,37, 0,53
top - 19:05:15 up 22 min,  1 user,  load average: 0,25, 0,37, 0,53
top - 19:05:16 up 22 min,  1 user,  load average: 0,25, 0,37, 0,53
top - 18:05:23 up 22 min,  1 user,  load average: 0,25, 0,37, 0,53
top - 18:05:24 up 22 min,  1 user,  load average: 0,23, 0,37, 0,53
top - 18:05:25 up 22 min,  1 user,  load average: 0,23, 0,37, 0,53
top - 18:05:26 up 22 min,  1 user,  load average: 0,23, 0,37, 0,53
top - 18:05:27 up 22 min,  1 user,  load average: 0,23, 0,37, 0,53
top - 18:05:28 up 22 min,  1 user,  load average: 0,23, 0,37, 0,53
top - 18:05:29 up 22 min,  1 user,  load average: 0,21, 0,36, 0,52
top - 18:05:30 up 22 min,  1 user,  load average: 0,21, 0,36, 0,52
top - 18:05:31 up 22 min,  1 user,  load average: 0,21, 0,36, 0,52
top - 18:05:32 up 22 min,  1 user,  load average: 0,21, 0,36, 0,52
top - 18:05:33 up 22 min,  1 user,  load average: 0,21, 0,36, 0,52
top - 18:05:34 up 22 min,  1 user,  load average: 0,19, 0,35, 0,52
top - 18:05:35 up 22 min,  1 user,  load average: 0,19, 0,35, 0,52
top - 18:05:36 up 22 min,  1 user,  load average: 0,19, 0,35, 0,52
top - 18:05:37 up 22 min,  1 user,  load average: 0,19, 0,35, 0,52
top - 18:05:38 up 22 min,  1 user,  load average: 0,19, 0,35, 0,52
top - 18:05:40 up 22 min,  1 user,  load average: 0,18, 0,35, 0,52
top - 18:05:41 up 22 min,  1 user,  load average: 0,18, 0,35, 0,52
top - 18:05:42 up 22 min,  1 user,  load average: 0,18, 0,35, 0,52
top - 18:05:43 up 22 min,  1 user,  load average: 0,18, 0,35, 0,52
top - 18:05:44 up 22 min,  1 user,  load average: 0,16, 0,34, 0,52
top - 18:05:45 up 22 min,  1 user,  load average: 0,16, 0,34, 0,52
top - 18:05:46 up 22 min,  1 user,  load average: 0,16, 0,34, 0,52
top - 18:05:47 up 22 min,  1 user,  load average: 0,16, 0,34, 0,52
top - 18:05:48 up 22 min,  1 user,  load average: 0,16, 0,34, 0,52
top - 18:05:49 up 22 min,  1 user,  load average: 0,15, 0,34, 0,51
top - 18:05:50 up 22 min,  1 user,  load average: 0,15, 0,34, 0,51
top - 18:05:51 up 22 min,  1 user,  load average: 0,15, 0,34, 0,51
top - 18:05:52 up 22 min,  1 user,  load average: 0,15, 0,34, 0,51
top - 18:05:53 up 22 min,  1 user,  load average: 0,15, 0,34, 0,51
top - 18:05:54 up 22 min,  1 user,  load average: 0,22, 0,35, 0,52
top - 18:05:55 up 22 min,  1 user,  load average: 0,22, 0,35, 0,52
top - 18:05:56 up 22 min,  1 user,  load average: 0,22, 0,35, 0,52
top - 18:05:57 up 22 min,  1 user,  load average: 0,22, 0,35, 0,52
top - 18:05:58 up 23 min,  1 user,  load average: 0,22, 0,35, 0,52
top - 18:05:59 up 23 min,  1 user,  load average: 0,20, 0,34, 0,51
top - 18:06:00 up 23 min,  1 user,  load average: 0,20, 0,34, 0,51
top - 18:06:01 up 23 min,  1 user,  load average: 0,20, 0,34, 0,51
top - 18:06:02 up 23 min,  1 user,  load average: 0,20, 0,34, 0,51
top - 18:06:03 up 23 min,  1 user,  load average: 0,20, 0,34, 0,51
top - 18:06:04 up 23 min,  1 user,  load average: 0,27, 0,35, 0,52
top - 18:06:05 up 23 min,  1 user,  load average: 0,27, 0,35, 0,52
top - 18:06:06 up 23 min,  1 user,  load average: 0,27, 0,35, 0,52
top - 18:06:07 up 23 min,  1 user,  load average: 0,27, 0,35, 0,52
top - 18:06:08 up 23 min,  1 user,  load average: 0,27, 0,35, 0,52
top - 18:06:09 up 23 min,  1 user,  load average: 0,24, 0,35, 0,51
top - 18:06:10 up 23 min,  1 user,  load average: 0,24, 0,35, 0,51
top - 18:06:11 up 23 min,  1 user,  load average: 0,24, 0,35, 0,51
top - 18:06:12 up 23 min,  1 user,  load average: 0,24, 0,35, 0,51
top - 18:06:13 up 23 min,  1 user,  load average: 0,24, 0,35, 0,51
top - 18:06:14 up 23 min,  1 user,  load average: 0,22, 0,34, 0,51
top - 18:06:15 up 23 min,  1 user,  load average: 0,22, 0,34, 0,51
top - 18:06:16 up 23 min,  1 user,  load average: 0,22, 0,34, 0,51
top - 18:06:17 up 23 min,  1 user,  load average: 0,22, 0,34, 0,51
top - 18:06:18 up 23 min,  1 user,  load average: 0,22, 0,34, 0,51
top - 18:06:19 up 23 min,  1 user,  load average: 0,21, 0,33, 0,51
top - 18:06:20 up 23 min,  1 user,  load average: 0,21, 0,33, 0,51
top - 18:06:21 up 23 min,  1 user,  load average: 0,21, 0,33, 0,51
top - 18:06:22 up 23 min,  1 user,  load average: 0,21, 0,33, 0,51
top - 18:06:23 up 23 min,  1 user,  load average: 0,21, 0,33, 0,51
top - 18:06:24 up 23 min,  1 user,  load average: 0,27, 0,35, 0,51
top - 18:06:25 up 23 min,  1 user,  load average: 0,27, 0,35, 0,51
top - 18:06:26 up 23 min,  1 user,  load average: 0,27, 0,35, 0,51
top - 18:06:27 up 23 min,  1 user,  load average: 0,27, 0,35, 0,51
top - 18:06:28 up 23 min,  1 user,  load average: 0,27, 0,35, 0,51
top - 18:06:29 up 23 min,  1 user,  load average: 0,25, 0,34, 0,51
top - 18:06:30 up 23 min,  1 user,  load average: 0,25, 0,34, 0,51
top - 18:06:31 up 23 min,  1 user,  load average: 0,25, 0,34, 0,51
top - 18:06:32 up 23 min,  1 user,  load average: 0,25, 0,34, 0,51
top - 18:06:33 up 23 min,  1 user,  load average: 0,25, 0,34, 0,51
top - 18:06:34 up 23 min,  1 user,  load average: 0,23, 0,33, 0,50
top - 18:06:35 up 23 min,  1 user,  load average: 0,23, 0,33, 0,50
top - 18:06:37 up 23 min,  1 user,  load average: 0,23, 0,33, 0,50
top - 18:06:38 up 23 min,  1 user,  load average: 0,23, 0,33, 0,50
top - 18:06:39 up 23 min,  1 user,  load average: 0,23, 0,33, 0,50
top - 18:06:40 up 23 min,  1 user,  load average: 0,21, 0,33, 0,50
top - 18:06:41 up 23 min,  1 user,  load average: 0,21, 0,33, 0,50
top - 18:06:42 up 23 min,  1 user,  load average: 0,21, 0,33, 0,50
top - 18:06:43 up 23 min,  1 user,  load average: 0,21, 0,33, 0,50
top - 18:06:44 up 23 min,  1 user,  load average: 0,21, 0,33, 0,50
top - 18:06:45 up 23 min,  1 user,  load average: 0,19, 0,32, 0,50
top - 18:06:46 up 23 min,  1 user,  load average: 0,19, 0,32, 0,50
top - 18:06:47 up 23 min,  1 user,  load average: 0,19, 0,32, 0,50
top - 18:06:48 up 23 min,  1 user,  load average: 0,19, 0,32, 0,50
top - 18:06:49 up 23 min,  1 user,  load average: 0,18, 0,32, 0,50
top - 18:06:50 up 23 min,  1 user,  load average: 0,18, 0,32, 0,50
top - 18:06:51 up 23 min,  1 user,  load average: 0,18, 0,32, 0,50
top - 18:06:52 up 23 min,  1 user,  load average: 0,18, 0,32, 0,50
top - 18:06:53 up 23 min,  1 user,  load average: 0,18, 0,32, 0,50
top - 18:06:54 up 23 min,  1 user,  load average: 0,16, 0,31, 0,49
top - 18:06:55 up 23 min,  1 user,  load average: 0,16, 0,31, 0,49
top - 18:06:56 up 23 min,  1 user,  load average: 0,16, 0,31, 0,49
top - 18:06:57 up 23 min,  1 user,  load average: 0,16, 0,31, 0,49
top - 18:06:58 up 24 min,  1 user,  load average: 0,16, 0,31, 0,49
top - 18:06:59 up 24 min,  1 user,  load average: 0,15, 0,31, 0,49
top - 18:07:00 up 24 min,  1 user,  load average: 0,15, 0,31, 0,49
top - 18:07:01 up 24 min,  1 user,  load average: 0,15, 0,31, 0,49
top - 18:07:02 up 24 min,  1 user,  load average: 0,15, 0,31, 0,49
top - 18:07:03 up 24 min,  1 user,  load average: 0,15, 0,31, 0,49
top - 18:07:04 up 24 min,  1 user,  load average: 0,14, 0,30, 0,49
top - 18:07:05 up 24 min,  1 user,  load average: 0,14, 0,30, 0,49
top - 18:07:06 up 24 min,  1 user,  load average: 0,14, 0,30, 0,49
top - 18:07:07 up 24 min,  1 user,  load average: 0,14, 0,30, 0,49
top - 18:07:08 up 24 min,  1 user,  load average: 0,14, 0,30, 0,49
top - 18:07:09 up 24 min,  1 user,  load average: 0,13, 0,30, 0,48
top - 18:07:10 up 24 min,  1 user,  load average: 0,13, 0,30, 0,48
top - 18:07:11 up 24 min,  1 user,  load average: 0,13, 0,30, 0,48
top - 18:07:12 up 24 min,  1 user,  load average: 0,13, 0,30, 0,48
top - 18:07:13 up 24 min,  1 user,  load average: 0,13, 0,30, 0,48
top - 18:07:14 up 24 min,  1 user,  load average: 0,12, 0,29, 0,48
top - 18:07:15 up 24 min,  1 user,  load average: 0,12, 0,29, 0,48
top - 18:07:16 up 24 min,  1 user,  load average: 0,12, 0,29, 0,48
top - 18:07:17 up 24 min,  1 user,  load average: 0,12, 0,29, 0,48
top - 18:07:18 up 24 min,  1 user,  load average: 0,12, 0,29, 0,48
top - 18:07:19 up 24 min,  1 user,  load average: 0,11, 0,29, 0,48
top - 18:07:20 up 24 min,  1 user,  load average: 0,11, 0,29, 0,48
top - 18:07:21 up 24 min,  1 user,  load average: 0,11, 0,29, 0,48
top - 18:07:22 up 24 min,  1 user,  load average: 0,11, 0,29, 0,48
top - 18:07:23 up 24 min,  1 user,  load average: 0,11, 0,29, 0,48
top - 18:07:24 up 24 min,  1 user,  load average: 0,10, 0,28, 0,47
top - 18:07:25 up 24 min,  1 user,  load average: 0,10, 0,28, 0,47
top - 18:07:26 up 24 min,  1 user,  load average: 0,10, 0,28, 0,47
top - 18:07:27 up 24 min,  1 user,  load average: 0,10, 0,28, 0,47
top - 18:07:28 up 24 min,  1 user,  load average: 0,10, 0,28, 0,47
top - 18:07:29 up 24 min,  1 user,  load average: 0,09, 0,28, 0,47
top - 18:07:30 up 24 min,  1 user,  load average: 0,09, 0,28, 0,47
top - 18:07:31 up 24 min,  1 user,  load average: 0,09, 0,28, 0,47
top - 18:07:32 up 24 min,  1 user,  load average: 0,09, 0,28, 0,47
top - 18:07:33 up 24 min,  1 user,  load average: 0,09, 0,28, 0,47
top - 18:07:34 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
top - 18:07:35 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
top - 18:07:36 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
top - 18:07:37 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
top - 18:07:38 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
top - 18:07:39 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
top - 18:07:40 up 24 min,  1 user,  load average: 0,08, 0,27, 0,47
