top - 18:04:44 up 21 min,  4 users,  load average: 0,32, 0,24, 0,27
top - 18:04:45 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:04:46 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:04:47 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:04:48 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:04:49 up 21 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:04:50 up 21 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:04:51 up 21 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:04:52 up 21 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:04:53 up 21 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:04:54 up 21 min,  5 users,  load average: 0,25, 0,23, 0,26
top - 18:04:55 up 21 min,  5 users,  load average: 0,25, 0,23, 0,26
top - 18:04:56 up 21 min,  5 users,  load average: 0,25, 0,23, 0,26
top - 18:04:57 up 21 min,  5 users,  load average: 0,25, 0,23, 0,26
top - 18:04:59 up 21 min,  5 users,  load average: 0,25, 0,23, 0,26
top - 18:05:00 up 21 min,  5 users,  load average: 0,23, 0,22, 0,26
top - 18:05:01 up 21 min,  5 users,  load average: 0,23, 0,22, 0,26
top - 18:05:02 up 21 min,  5 users,  load average: 0,23, 0,22, 0,26
top - 18:05:03 up 21 min,  5 users,  load average: 0,23, 0,22, 0,26
top - 18:05:04 up 21 min,  5 users,  load average: 0,23, 0,22, 0,26
top - 18:05:05 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:05:06 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:05:07 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:05:08 up 21 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:05:09 up 22 min,  5 users,  load average: 0,29, 0,24, 0,27
top - 18:05:10 up 22 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:05:11 up 22 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:05:12 up 22 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:05:13 up 22 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:05:14 up 22 min,  5 users,  load average: 0,27, 0,23, 0,26
top - 18:05:15 up 22 min,  5 users,  load average: 0,24, 0,23, 0,26
top - 18:05:16 up 22 min,  5 users,  load average: 0,24, 0,23, 0,26
top - 18:05:17 up 22 min,  5 users,  load average: 0,24, 0,23, 0,26
top - 18:05:18 up 22 min,  5 users,  load average: 0,24, 0,23, 0,26
top - 18:05:19 up 22 min,  5 users,  load average: 0,24, 0,23, 0,26
top - 18:05:20 up 22 min,  5 users,  load average: 0,22, 0,22, 0,26
top - 18:05:21 up 22 min,  5 users,  load average: 0,22, 0,22, 0,26
top - 18:05:22 up 22 min,  5 users,  load average: 0,22, 0,22, 0,26
top - 18:05:23 up 22 min,  5 users,  load average: 0,22, 0,22, 0,26
top - 18:05:24 up 22 min,  5 users,  load average: 0,22, 0,22, 0,26
top - 18:05:25 up 22 min,  5 users,  load average: 0,21, 0,22, 0,26
top - 18:05:26 up 22 min,  5 users,  load average: 0,21, 0,22, 0,26
top - 18:05:27 up 22 min,  5 users,  load average: 0,21, 0,22, 0,26
top - 18:05:28 up 22 min,  5 users,  load average: 0,21, 0,22, 0,26
top - 18:05:29 up 22 min,  5 users,  load average: 0,21, 0,22, 0,26
top - 18:05:30 up 22 min,  5 users,  load average: 0,19, 0,22, 0,26
top - 18:05:31 up 22 min,  5 users,  load average: 0,19, 0,22, 0,26
top - 18:05:32 up 22 min,  5 users,  load average: 0,19, 0,22, 0,26
top - 18:05:33 up 22 min,  5 users,  load average: 0,19, 0,22, 0,26
top - 18:05:34 up 22 min,  5 users,  load average: 0,19, 0,22, 0,26
top - 18:05:35 up 22 min,  5 users,  load average: 0,33, 0,25, 0,27
top - 18:05:36 up 22 min,  5 users,  load average: 0,33, 0,25, 0,27
top - 18:05:37 up 22 min,  5 users,  load average: 0,33, 0,25, 0,27
top - 18:05:38 up 22 min,  5 users,  load average: 0,33, 0,25, 0,27
top - 18:05:39 up 22 min,  5 users,  load average: 0,33, 0,25, 0,27
